Date;Word(-s) [Exercise book - Page]
18.07.2017;scarcely [9-2]
20.07.2017;admonish [9-5]
22.07.2017;outright [9-6]
24.07.2017;allowance [9-9]
26.07.2017;nick [9-11]
15.08.2017;transmit [9-13]
17.08.2017;exasperate [9-15]
19.08.2017;exasperated [9-17]
21.08.2017;encounter [9-18]
23.08.2017;wire [9-20]
25.08.2017;lane [9-23]
27.08.2017;commit [9-25]
29.08.2017;commitment [9-28]
31.08.2017;adjacent [9-30]
02.09.2017;caveat [9-31]
04.09.2017;propagate [9-33]
06.09.2017;blunder [9-35]
08.09.2017;hasten [10-1]
10.09.2017;distract [10-2]
12.09.2017;rumour [10-4]
14.09.2017;arbitrary [10-5]
16.09.2017;coerce [10-7]
18.09.2017;citation [10-9]
20.09.2017;miniature [10-11]
22.09.2017;rife [10-12]
30.09.2017;concede [10-14]
02.10.2017;caprice [10-16]
04.10.2017;pour [10-17]
12.10.2017;pour out [10-20]
14.10.2017;shrink [10-21]
16.10.2017;irreducible [10-24]
18.10.2017;imprecation [10-25]
20.10.2017;itinerary [10-26]
26.10.2017;gush [10-28]
28.10.2017;industrious [10-31]
30.10.2017;industriously [10-32]
01.11.2017;invoke [10-32]
03.11.2017;ascertain [10-35]
05.11.2017;hose [11-1]
07.11.2017;persevere [11-2]
09.11.2017;perseverance [11-4]
11.11.2017;refine [11-5]
13.11.2017;refined [11-8]
15.11.2017;vengeance [11-10]
17.11.2017;hollow [11-11]
21.11.2017;hollowness [11-15]
23.11.2017;attenuate [11-16]
25.11.2017;attenuated, attenuation [11-18]
27.11.2017;mourn, mourning [11-20]
29.11.2017;mournful, mournfully, mourner [11-22]
01.12.2017;settle [11-25]
03.12.2017;settle down, settle in, settle up [11-28]
05.12.2017;settlement [11-30]
07.12.2017;settler [11-32]
09.12.2017;wear [11-33]
11.12.2017;wear away, -down, -off, -on, -out [12-1]
13.12.2017;proclaim, proclaimed, proclaiming [12-3]
15.12.2017;proclamation [12-5]
17.12.2017;foray [12-6]
19.12.2017;wreak [12-8]
21.12.2017;inflict, infliction [12-9]
23.12.2017;nepotism, nepotist [12-11]
25.12.2017;illicit, illicitly [12-13]
27.12.2017;predicate, predication [12-15]
31.12.2017;sleuth, sleuthing [12-16]
06.01.2018;boredom [12-18]
08.01.2018;stare, starer [12-19]
10.01.2018;stink [12-21]
12.01.2018;stinky, stinker, stinkiness [12-23]
16.01.2018;sole, solely [12-24]
18.01.2018;connote, connotation, connotative [12-27]
22.01.2018;denote, denotation, denotative [12-29]
24.01.2018;connote - denote, connotation - denotation [12-31] 
26.01.2018;meddle, meddling, meddler [12-32]
30.01.2018;contempt [12-34]
01.02.2018;contemptible [12-36]
03.02.2018;contemptuous, contemptuously [13-2]
05.02.2018;jiffy [13-4]
07.02.2018;fold [13-5]
09.02.2018;folding, folder, foldable, fold up [13-7]
11.02.2018;mingle [13-9]
13.02.2018;treachery, treacherous [13-10]
15.02.2018;treacherously, treacherousness [13-13]
17.02.2018;dismiss [13-13]
19.02.2018;dismissive, dismissed, dismissible [13-15]
21.02.2018;dismissal, dismission [13-16]
23.02.2018;subtle, subtlety [13-18]
25.02.2018;cease [13-21]
27.02.2018;ceaseless, ceaselessly, ceaselessness [13-22]
01.03.2018;nuisance [13-24]
03.03.2018;host [13-25]
11.03.2018;deceive, deceiver, undeceive [13-27]
13.03.2018;dough, doughy [13-30]
19.03.2018;enhance [13-31]
21.03.2018;enhanced, enhancement, enhancer [13-33]
23.03.2018;whine [13-34]
25.03.2018;whiny, whiney, whiner [13-36]
27.03.2018;craft [13-37]
29.03.2018;crafty, craftily, craftiness [13-39]
02.04.2018;adjourn, adjournment [13-41]
04.04.2018;pervade [13-42]
08.04.2018;outfit, outfitter, outfitted [13-43]
10.04.2018;utter [13-46]
12.04.2018;utterly [13-48]
14.04.2018;utterance, utterable, utterer, utterness [13-50]
16.04.2018;inane, inanity, inanely [13-51]
18.04.2018;arrogate, arrogation [13-53]
20.04.2018;arrogance, arrogant, arrogantly [13-54]
22.04.2018;arise [13-57]
24.04.2018;cohere, coherent [13-59]
26.04.2018;cohesive, cohesiveness, coherence, coherency, coherently [13-61]
28.04.2018;pejorative, pejoratively [13-63]
30.04.2018;bewitch, bewitching, bewitchment, bewitchery, bewitchingly [13-65]
02.05.2018;awake [13-66]
04.05.2018;superior [13-68]
08.05.2018;superiority [13-71]
10.05.2018;inferior [13-73]
12.05.2018;inferiority [13-75]
14.05.2018;cleave [13-76]
16.05.2018;confer, conferment, conferral [13-77]
18.05.2018;preserve [13-79]
22.05.2018;preserved, preservation [13-81]
24.05.2018;preservative, preservable, preservationist, preserver, preserves [13-83]
28.05.2018;bear [13-85]
01.06.2018;bearing, bearable, bearish [13-87]
03.06.2018;bear away, _down, _up [13-90]
05.06.2018;bear off, _on, _out [13-92]
07.06.2018;beat [13-93]
09.06.2018;beat (phrasal verbs) [14-2]
11.06.2018;chasm, chasmal [14-4]
13.06.2018;exert [14-5]
17.06.2018;exertion [14-7]
19.06.2018;overexert, overexertion [14-8]
21.06.2018;mercy [14-9]
23.06.2018;merciful, mercifully, mercifulness [14-11]
25.06.2018;merciless, mercilessly, mercilessness [14-13]
27.06.2018;finite, finitude, finitely [14-15]
29.06.2018;extinguish [14-17]
05.07.2018;extinguished, extinguisher, extinguishable, extinguishing [14-18] 
07.07.2018;sedentary [14-19]
09.07.2018;spare [14-20]
11.07.2018;sparely, spareness, sparer [14-23]
13.07.2018;sparing, unsparing [15-2]
17.07.2018;sparingly, unsparingly [15-3]
19.07.2018;swift [15-4]
21.07.2018;swiftly, swiftness, swiften [15-6]
23.07.2018;bleed [15-7]
25.07.2018;bleeder, bleeding [15-9]
27.07.2018;acquire [15-11]
31.07.2018;acquired, acquirement, acquirable [15-13]
02.08.2018;salvage [15-15]
20.08.2018;salvageable, salvager [15-16]
22.08.2018;blow [15-18]
24.08.2018;blow (phrasal verbs_1) [15-21]
26.08.2018;blow (phrasal verbs_2) [16-2]
28.08.2018;blowback, blow-by-blow, blowing up, blowy [16-4]
30.08.2018;blower, blowhard, blowout [16-6]
01.09.2018;seasonable, seasonableness, seasonably [16-8]
03.09.2018;impute [16-10]
05.09.2018;imputable, imputation [16-11]
07.09.2018;accrue [16-13]
11.09.2018;accrued, accruement [16-14]
13.09.2018;accrual [16-15]
15.09.2018;oversight [16-16]
17.09.2018;feature [16-18]
19.09.2018;featured, featureless [16-21]
21.09.2018;merchandise, merchandising, merchandiser [16-23]
23.09.2018;redeem [16-25]
25.09.2018;redeeming [16-27]
27.09.2018;redeemable, redeemer [16-28]
29.09.2018;irredeemable, irredeemably [16-29]
01.10.2018;redemption, redemptive, redemptional, redemptory [16-30]
03.10.2018;pledge [16-32]
05.10.2018;bring [16-34]
07.10.2018;bring about, bring along [16-36]
09.10.2018;bring around, bring away, bring back [16-38]
11.10.2018;bring down, bring forth [16-41]
15.10.2018;bring forward, bring in [16-43]
17.10.2018;bringing [16-45]
19.10.2018;bring off, bring on [16-47]
21.10.2018;bring out, bring over [17-2]
31.10.2018;bring round, bring through [17-4]
02.11.2018;bring together, bring under [17-5]
04.11.2018;bring up [17-6]
06.11.2018;subvert, subverter [17-8]
08.11.2018;subversive, subversion [17-9]
12.11.2018;exonerate, exonerated [17-11]
14.11.2018;exoneration, exonerative [17-13]
16.11.2018;anticipate [17-14]
18.11.2018;anticipated, unanticipated [17-16]
20.11.2018;anticipation, anticipative, anticipant [17-18]
22.11.2018;anticipatory, anticipator [17-20]
24.11.2018;protrude, protruding [17-22]
26.11.2018;protrusion, protrusible, protrusile [17-24]
28.11.2018;pursue [17-25]
30.11.2018;pursuit, pursual [17-27]
02.12.2018;pursuant, pursuance [17-28]
04.12.2018;pursuing, pursuer [17-30]
06.12.2018;summon, summoning [17-31]
08.12.2018;summons [17-33]
10.12.2018;immense [17-34]
12.12.2018;immensely [17-36]
14.12.2018;immensity, immenseness, immensurable [17-37]
16.12.2018;skunk [17-38]
18.12.2018;exude, exudate [17-39]
20.12.2018;exudation [17-41]
22.12.2018;avenue [17-42]
26.12.2018;modality [17-43]
28.12.2018;bedazzle [17-45]
30.12.2018;ravish, ravishing, ravishingly [17-46]
27.01.2019;broadcast [18-2]
29.01.2019;build [18-4]
31.01.2019;building, rebuilding [18-6]
02.02.2019;rebuild [18-8]
04.02.2019;build on (upon), build in [18-9]
06.02.2019;build out, build-out [18-10]
08.02.2019;build up, buildup [18-11]
10.02.2019;damper [18-13]
12.02.2019;span [18-14]
14.02.2019;might [18-16]
16.02.2019;mighty [18-17]
18.02.2019;mightily, mightiness [18-19]
20.02.2019;assess [18-20]
22.02.2019;assessment [18-22]
24.02.2019;assessor, assessable, assessee [18-24]
26.02.2019;retrofit [18-25]
28.02.2019;burn [18-27]
02.03.2019;burn down [18-30]
04.03.2019;burn off [18-30]
08.03.2019;burn out, burnout [18-31]
10.03.2019;burn up, burnup [18-33]
12.03.2019;burnt, burnable, burnability [18-34]
16.03.2019;transgress [18-35]
18.03.2019;transgression [18-37]
20.03.2019;transgressor, transgressive [18-38]
22.03.2019;assert [18-39]
26.03.2019;assertion [18-41]
28.03.2019;assertive, unassertive [18-42]
30.03.2019;assertiveness, asserted, asserter, asserting, assertively [18-44]
01.04.2019;preposterous, preposterously [18-46]
05.04.2019;ripe [18-47]
07.04.2019;overripe [19-2]
09.04.2019;ripen, ripely, ripeness [19-2]
11.04.2019;decent [19-4]
15.04.2019;indecent [19-6]
17.04.2019;decency [19-8]
19.04.2019;indecency [19-10]
27.04.2019;decently, indecently [19-11]
29.04.2019;content [19-12]
01.05.2019;contented [19-15]
07.05.2019;discontent, discontented [19-16]
11.05.2019;contentment, discontentment [19-18]
13.05.2019;contentious, contentiousness, contentiously [19-19]
06.06.2019;margin [19-21]
08.06.2019;roundabout [19-23]
12.06.2019;serene [19-25]
14.06.2019;serenity, sereneness, serenely [19-26]
16.06.2019;jot, jotting, jotter [19-27]
18.06.2019;denticulate, denticulated [19-29]
20.06.2019;juncture, disjuncture [19-30]
22.06.2019;junction [19-31]
24.06.2019;disjunction, disjunctive [19-32]
26.06.2019;disjunct [19-34]
28.06.2019;midst [19-35]
04.07.2019;aftermath [20-2]
06.07.2019;appreciable, appreciably, inappreciable [20-3]
08.07.2019;concur [20-5]
16.07.2019;concurrence, concurrency [20-6]
18.07.2019;concurrent, concurrently [20-8]
20.07.2019;concurrent - consecutive [20-9]
22.07.2019;adverse [20-10]
26.07.2019;adversely [20-11]
28.07.2019;adversity [20-12]
01.08.2019;adversary, adversative [20-14]
03.08.2019;hamper [20-15]
27.08.2019;halt [20-17]
29.08.2019;burst [20-19]
31.08.2019;bursting [20-22]
02.09.2019;burst in [20-23]
04.09.2019;burst out [20-24]
06.09.2019;outburst [20-24]
08.09.2019;precipitate [20-26]
10.09.2019;precipitation, precipitately [20-28]
12.09.2019;precipitant [20-30]
16.09.2019;precipitating, precipitateness, precipitator [20-31]
18.09.2019;limp [20-32]
20.09.2019;flurry [20-34]
22.09.2019;ample [20-36]
04.10.2019;amplify [21-2]
06.10.2019;amplifier, amplification [21-3]
08.10.2019;amply, ampleness [21-4]
10.10.2019;headlong [21-5]
16.10.2019;kilter [21-7]
18.10.2019;amend [21-8]
20.10.2019;amended, unamended [21-9]
22.10.2019;amendment, amendatory [21-10]
24.10.2019;amendable, unamendable [21-12]
26.10.2019;amends [21-12]
28.10.2019;cling [21-14]
03.11.2019;clingy [21-16]
05.11.2019;incautious, incautiously, incautiousness [21-16]
13.11.2019;plunge [21-18]
15.11.2019;plunger [21-20]
17.11.2019;endow [21-21]
21.11.2019;endowed [21-22]
23.11.2019;unendowed [21-23]
27.11.2019;endowment [21-24]
29.11.2019;retract [21-25]
01.12.2019;retraction [21-27]
03.12.2019;retractable, retractile [21-28]
05.12.2019;frugal [21-29]
07.12.2019;frugality [21-31]
09.12.2019;frugally, frugalness [21-32]
11.12.2019;creep [21-33]
13.12.2019;creepy, creeper [21-35]
15.12.2019;benevolent [21-37]
17.12.2019;benevolence, benevolently [21-39]
21.12.2019;endeavor [21-40]
23.12.2019;seal [21-42]
29.12.2019;sealed [21-44]
02.01.2020;unseal [21-46]
06.01.2020;virtue [21-46]
08.01.2020;virtuous, virtuously, virtuousness [22-2]
12.01.2020;offbeat [22-3]
18.01.2020;propriety [22-5]
20.01.2020;impropriety [22-6]
26.01.2020;proprietary [22-7]
01.02.2020;proprietor [22-9]
03.02.2020;revoke [22-10]
05.02.2020;revokable [22-12]
09.02.2020;irrevocable, irrevocably [22-13]
11.02.2020;hazard [22-14]
15.02.2020;hazardous, unhazardous [22-16]
17.02.2020;hazardously, hazardousness [22-17]
23.02.2020;stealth [22-18]
25.02.2020;stealthy [22-20]
02.03.2020;stealthily, stealthiness [22-21]
08.03.2020;stodgy [22-22]
10.03.2020;allege [22-23]
14.03.2020;alleged [22-25]
16.03.2020;allegedly, allegement [22-26]
18.03.2020;allegiance [22-27]
20.03.2020;allegation [22-28]
22.03.2020;dispense [22-30]
24.03.2020;dispensation [22-31]
26.03.2020;dispensable, indispensable [22-33]
28.03.2020;dispensability, indispensability [22-35]
30.03.2020;inhale [22-35]
01.04.2020;inhalation, inhalant, inhaler [22-36]
03.04.2020;exhale, exhalation [22-38]
05.04.2020;eerie, eerily, eeriness [22-39]
07.04.2020;digest [22-41]
09.04.2020;digestion [22-43]
13.04.2020;indigestion [22-44]
15.04.2020;forswear, forswearing [22-45]
17.04.2020;spark [22-46]
21.04.2020;sparkle [22-47]
23.04.2020;sparkling [23-2]
25.04.2020;sparkly [23-3]
27.04.2020;owe [23-4]
29.04.2020;profess [23-6]
01.05.2020;professed, professedly   [23-7]
05.05.2020;flee [23-8]
07.05.2020;fleeting, fleetly, fleetness [23-10]
11.05.2020;fleet [23-11]
13.05.2020;explicate [23-13]
15.05.2020;explicable [23-13]
19.05.2020;inexplicable [23-14]
21.05.2020;explication [23-15]
23.05.2020;dapple [23-16]
25.05.2020;dappled [23-17]
27.05.2020;treatise [23-18]
29.05.2020;guise [23-20]
31.05.2020;reminisce [23-21]
02.06.2020;reminiscent [23-22]
04.06.2020;reminiscence, reminiscently [23-23]
06.06.2020;fidelity [23-24]
